method,semantic_type,n,exact_accuracy_pct,lenient_accuracy_pct
Caption-Style SST,attr,40,55.0,57.5
Caption-Style SST,cat,40,75.0,80.0
Caption-Style SST,global,40,40.0,50.0
Caption-Style SST,obj,40,30.0,30.0
Caption-Style SST,rel,40,65.0,75.0
Full SST,attr,40,52.5,55.0
Full SST,cat,40,77.5,85.0
Full SST,global,40,42.5,45.0
Full SST,obj,40,32.5,32.5
Full SST,rel,40,67.5,75.0
Keyword-Aware SST,attr,40,55.0,57.5
Keyword-Aware SST,cat,40,70.0,82.5
Keyword-Aware SST,global,40,40.0,42.5
Keyword-Aware SST,obj,40,27.5,27.5
Keyword-Aware SST,rel,40,57.5,75.0
LLaVA Image + Question,attr,40,47.5,50.0
LLaVA Image + Question,cat,40,60.0,62.5
LLaVA Image + Question,global,40,45.0,52.5
LLaVA Image + Question,obj,40,82.5,82.5
LLaVA Image + Question,rel,40,42.5,52.5
